sample_size,delta_mu,avg_power,sd_power,N,se_power,Level,Model,Total_name,Total_tests,dm,n1_prop
1100,0.03,0.9876,0.0048817598207376465,20,0.0010915946808996565,Region,Binary (delta; 50_50),Region_20K,20000,500,0.5
1200,0.03,0.9881,0.0037542957851114086,20,8.394860583150052e-4,Region,Binary (delta; 50_50),Region_20K,20000,500,0.5
900,0.05,0.9973,0.002696976865033575,20,6.030623603959349e-4,Region,Binary (delta; 50_50),Region_20K,20000,500,0.5
1000,0.05,0.9979,0.00229186203313973,20,5.124759301151312e-4,Region,Binary (delta; 50_50),Region_20K,20000,500,0.5
1100,0.05,0.9989,0.0021001253095445237,20,4.696022953409343e-4,Region,Binary (delta; 50_50),Region_20K,20000,500,0.5
1200,0.05,0.9984,0.0020104987598001402,20,4.495611895592135e-4,Region,Binary (delta; 50_50),Region_20K,20000,500,0.5
900,0.01,0.55965,0.014437797615980043,20,0.003228389691471578,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.25
1000,0.01,0.5833999999999999,0.016310797198885087,20,0.003647205130392021,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.25
1100,0.01,0.61105,0.020520785354828604,20,0.00458858710050789,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.25
1200,0.01,0.62595,0.01600156242371352,20,0.003578058132562972,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.25
900,0.02,0.85775,0.01036123849536796,20,0.00231684336067304,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.25
1000,0.02,0.87055,0.011004664082967167,20,0.0024607176959064968,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.25
1100,0.02,0.8885500000000001,0.011245934938082257,20,0.0025146674992091813,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.25
1200,0.02,0.8955,0.010359333447364477,20,0.002316417378989421,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.25
900,0.03,0.9474,0.009885662132071538,20,0.002210501252990746,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.25
1000,0.03,0.9548,0.008243657849331327,20,0.0018433379334354565,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.25
1100,0.03,0.96075,0.005349618776383195,20,0.001196211123770207,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.25
1200,0.03,0.96665,0.005575085555161326,20,0.0012466270281717878,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.25
900,0.05,0.99025,0.00312671005842782,20,6.991536236576944e-4,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.25
1000,0.05,0.99265,0.0017851728502481668,20,3.991767844741953e-4,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.25
1100,0.05,0.9943,0.002341839133312918,20,5.236511494456877e-4,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.25
1200,0.05,0.99525,0.002381397201556044,20,5.324966024107082e-4,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.25
900,0.01,0.63045,0.018596759763039667,20,0.004158361899138957,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.5
1000,0.01,0.65545,0.011394712531881212,20,0.002547935180535513,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.5
1100,0.01,0.67705,0.015090865135117839,20,0.0033744200281405033,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.5
1200,0.01,0.69495,0.017037033964742473,20,0.0038095966080136925,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.5
